Date,Domestic_Aviation,Ground_Transport,Industry,International_Aviation,Power,Residential,snp_500
2019-01-02,0.436517,4.94065,2.22424,0.190483,3.95599,3.47507,2510.030029296875
2019-01-03,0.46924,4.98876,2.53213,0.203517,4.50361,3.20613,2447.889892578125
2019-01-04,0.456743,5.00355,2.45294,0.203857,4.36275,2.9268,2531.93994140625
2019-01-07,0.421686,3.78389,1.87905,0.204479,3.34204,2.53096,2549.68994140625
2019-01-08,0.437056,4.70591,2.15024,0.198693,3.82438,2.22898,2574.409912109375
2019-01-09,0.422724,4.94065,2.10639,0.183752,3.7464,2.81437,2584.9599609375
2019-01-10,0.478,4.98876,2.48616,0.207945,4.42184,3.63694,2596.639892578125
2019-01-11,0.37084,5.00355,2.67503,0.191114,4.75776,3.70614,2596.260009765625
2019-01-14,0.409115,3.78389,2.67129,0.199001,4.75112,3.85729,2582.610107421875
2019-01-15,0.423907,4.70591,2.948,0.191163,5.24327,3.77744,2610.300048828125
2019-01-16,0.379857,4.94065,2.91565,0.16443,5.18573,3.43935,2616.10009765625
2019-01-17,0.437966,4.98876,2.84435,0.195377,5.05892,3.24845,2635.9599609375
2019-01-18,0.450628,5.00355,2.76986,0.201,4.92642,3.03586,2670.7099609375
2019-01-22,0.4234,4.70591,3.05069,0.195863,5.4259,4.15087,2632.89990234375
2019-01-23,0.411893,4.94065,2.90248,0.185173,5.16231,3.30744,2638.699951171875
2019-01-24,0.440289,4.98876,2.75336,0.194336,4.89709,3.1385,2642.330078125
2019-01-25,0.452801,5.00355,2.70571,0.197635,4.81233,4.10079,2664.760009765625
2019-01-28,0.376044,3.78389,2.53855,0.181055,4.51501,3.58629,2643.85009765625
2019-01-29,0.411239,4.70591,2.63017,0.193884,4.67797,4.10311,2640.0
2019-01-30,0.396712,4.94065,3.06362,0.177673,5.4489,4.95836,2681.050048828125
2019-01-31,0.418075,4.98876,3.36554,0.192018,5.98589,5.22078,2704.10009765625
2019-02-01,0.441808,5.16466,3.85515,0.201035,5.85282,4.34262,2706.530029296875
2019-02-04,0.393286,3.90573,2.30494,0.193747,3.49931,2.21287,2724.8701171875
2019-02-05,0.431854,4.85744,2.63871,0.187222,4.00604,2.51038,2737.699951171875
2019-02-06,0.41696,5.09973,2.86494,0.170778,4.3495,2.67347,2731.610107421875
2019-02-07,0.434379,5.1494,2.84397,0.188219,4.31767,2.75888,2706.050048828125
2019-02-08,0.450368,5.16466,2.84436,0.188775,4.31825,3.7426,2707.8798828125
2019-02-11,0.402942,3.90573,3.04454,0.191476,4.62217,3.4962,2709.800048828125
2019-02-12,0.399945,4.85744,2.9978,0.178107,4.5512,3.21287,2744.72998046875
