date,country,sector,MtCO2 per day
01/01/2019,United States,Domestic Aviation,0.363743
01/01/2019,United States,Ground Transport,4.70591
01/01/2019,United States,Industry,2.12049
01/01/2019,United States,International Aviation,0.178948
01/01/2019,United States,Power,3.77147
01/01/2019,United States,Residential,2.81395
02/01/2019,United States,Domestic Aviation,0.436517
02/01/2019,United States,Ground Transport,4.94065
02/01/2019,United States,Industry,2.22424
02/01/2019,United States,International Aviation,0.190483
02/01/2019,United States,Power,3.95599
02/01/2019,United States,Residential,3.47507
03/01/2019,United States,Domestic Aviation,0.46924
03/01/2019,United States,Ground Transport,4.98876
03/01/2019,United States,Industry,2.53213
03/01/2019,United States,International Aviation,0.203517
03/01/2019,United States,Power,4.50361
03/01/2019,United States,Residential,3.20613
04/01/2019,United States,Domestic Aviation,0.456743
04/01/2019,United States,Ground Transport,5.00355
04/01/2019,United States,Industry,2.45294
04/01/2019,United States,International Aviation,0.203857
04/01/2019,United States,Power,4.36275
04/01/2019,United States,Residential,2.9268
05/01/2019,United States,Domestic Aviation,0.415185
05/01/2019,United States,Ground Transport,2.86631
05/01/2019,United States,Industry,2.41715
05/01/2019,United States,International Aviation,0.209391
05/01/2019,United States,Power,4.2991
05/01/2019,United States,Residential,2.68456
06/01/2019,United States,Domestic Aviation,0.397246
06/01/2019,United States,Ground Transport,3.97263
06/01/2019,United States,Industry,2.1845
06/01/2019,United States,International Aviation,0.213379
06/01/2019,United States,Power,3.88531
06/01/2019,United States,Residential,2.5422
07/01/2019,United States,Domestic Aviation,0.421686
07/01/2019,United States,Ground Transport,3.78389
07/01/2019,United States,Industry,1.87905
07/01/2019,United States,International Aviation,0.204479
07/01/2019,United States,Power,3.34204
07/01/2019,United States,Residential,2.53096
08/01/2019,United States,Domestic Aviation,0.437056
08/01/2019,United States,Ground Transport,4.70591
08/01/2019,United States,Industry,2.15024
08/01/2019,United States,International Aviation,0.198693
08/01/2019,United States,Power,3.82438
08/01/2019,United States,Residential,2.22898
09/01/2019,United States,Domestic Aviation,0.422724
09/01/2019,United States,Ground Transport,4.94065
09/01/2019,United States,Industry,2.10639
09/01/2019,United States,International Aviation,0.183752
09/01/2019,United States,Power,3.7464
09/01/2019,United States,Residential,2.81437
10/01/2019,United States,Domestic Aviation,0.478
10/01/2019,United States,Ground Transport,4.98876
10/01/2019,United States,Industry,2.48616
